519,1328.6196,1612.2500,11.7437,270.0001,1,1 ; SA Shamal
593,1352.1102,1779.0000,11.2880,270.0000,2,1 ; SA Dodo
593,1352.1116,1801.5000,11.2863,269.9999,36,8 ; SA Dodo
522,1676.4335,1322.1592,10.3320,87.7189,7,79 ; Hidden NRG
577,1585.5636,1188.1748,10.7286,179.8277,8,7 ; Obligatory AT400
417,1286.8724,1449.6250,10.8722,270.0000,0,0 ; SA Livathan
553,1571.4385,1487.7513,12.1685,311.1577,71,87 ; Nevada 1
553,1597.4109,1342.6935,12.1865,344.8449,71,87 ; Nevada 2
577,1561.9843,1414.0880,10.7566,229.4075,8,7 ; AT400 2
487,1655.0576,1554.5649,10.9879,64.4211,26,3 ; Maverick 1
487,1397.5690,1770.0475,10.9971,269.3060,26,3 ; Maverick 2
487,1618.4143,1357.5428,10.9893,169.4555,26,3 ; Maverick 3
469,1358.1189,1253.5436,10.8285,358.5788,1,3 ; Sparrow 1
609,1341.5886,1729.4564,10.8864,91.6428,36,36 ; Boxville by a hanger
519,1303.7971,1360.9348,11.7405,267.7907,1,1 ; Shamal 2
511,1341.3031,1682.6432,12.1967,268.5870,3,90 ; Beagle
512,1326.1611,1420.4333,11.1030,178.1441,17,39 ; Cropduster
513,1280.1281,1411.8032,11.3653,223.4432,48,18 ; Stunt plane
515,1573.4801,1654.4058,11.8422,91.4976,24,77 ; Roadtrain 1b
435,1554.5338,1669.4784,11.4542,180.0,1,1 ; Trailer 1 - 180
435,1581.9742,1664.0665,11.4526,180.0,1,1 ; Trailer 2 - 180
404,1309.7848,1279.5735,10.5544,359.2681,101,101 ; Perennial
411,1682.5769,1316.6561,10.5474,358.3994,123,1 ; Infernus in Carpark
436,1663.4026,1297.1321,10.5877,359.4867,83,1 ; wtf is a previon?
439,1642.0035,1293.2332,10.7156,268.6615,54,38 ; Carpark Stallion
462,1713.8118,1319.2559,10.4165,268.4222,2,1 ; faggio
474,1695.4330,1306.1843,10.5853,179.3891,110,1 ; Harmes (maybe)
480,1682.4532,1286.9058,10.5945,179.2040,6,6 ; Comet
420,1723.8730,1501.4979,10.5187,167.0140,6,1 ; Taxi out front
420,1712.5610,1461.2471,10.5375,162.1933,6,1 ; Taxi out front
420,1707.1067,1437.8787,10.4501,182.4505,6,1 ; Taxi out front
438,1717.6479,1479.1417,10.7440,163.7234,6,76 ; Taxi out front
438,1707.2537,1415.7250,10.5640,189.8016,6,76 ; Taxi out front
437,1719.1062,1381.2042,10.6256,197.7497,123,20 ; bus out front
485,1537.6528,1211.1794,10.4701,0.8908,1,79 ; baggage
592,1340.5055,1495.6396,12.0169,270.7770,1,1 ; Andromeda
530,1700.8251,1650.3220,10.4337,179.5135,119,1 ; forklift
583,1295.1582,1568.4415,10.3599,268.6457,1,1 ; tug
583,1601.4015,1458.0558,10.3659,87.0504,1,1 ; tug
607,1354.7970,1650.1801,10.8847,177.7868,0,0 ; bag 2
607,1355.4685,1654.0891,10.8795,163.9101,0,0 ; bag 3
606,1354.3240,1646.1836,10.8769,171.8680,0,0 ; bag 1
485,1353.3430,1642.0271,10.4825,175.0001,1,76 ; baggage 1
606,1594.9034,1423.2972,10.8737,144.2537,0,0 ; bag 4
606,1595.8179,1427.1929,10.8727,170.5989,0,0 ; bag 5
607,1595.1925,1431.0217,10.8889,189.2710,0,0 ; bag 6
607,1593.4651,1434.3538,10.8897,218.1331,0,0 ; bag 7
611,1302.9681,1653.1042,10.4706,268.4278,0,0 ; random
422,1325.3158,1278.7190,10.8037,180.6936,101,25 ; bobcat
505,1282.6981,1304.3754,10.9647,82.8840,76,102 ; rancher
407,1282.0891,1477.3781,11.0577,244.1416,3,1 ; fire 1
407,1312.9038,1580.9365,11.0562,272.9746,3,1 ; fire 2
